,id,site,latitude,longitude,time_bp
1,DB05306,Abauntz,43.16,-2.04,-14000
2,DB00159,Abauntz,43.16,-2.04,-14000
3,DB04828,Abauntz,43.16,-2.04,-14000
4,DB02006,Abauntz,43.16,-2.04,-14000
5,DB05647,Abauntz,43.16,-2.04,-16000
7,DB03983,Aitzbitarte,43.27,-1.89,-16000
23,DB00956,Amalda,43.23,-2.2,-14000
24,DB03465,Amalda,43.23,-2.2,-19000
25,DB04938,Amalda,43.23,-2.2,-20000
26,DB04509,Amalda,43.23,-2.2,-21000
27,DB04681,Amalda,43.23,-2.2,-22000
32,DB01175,Ambrosio,37.83,-2.1,-17000
33,DB01497,Ambrosio,37.83,-2.1,-20000
34,DB01331,Ambrosio,37.83,-2.1,-20000
35,DB04682,Ambrosio,37.83,-2.1,-20000
36,DB01545,Ambrosio,37.83,-2.1,-21000
44,DB03226,Amoreira,39.1,-8.67,-8000
45,DB01548,Andernach Martinsberg,50.43,7.4,-15000
46,DB01547,Andernach Martinsberg,50.43,7.4,-15000
47,DB02355,Andernach Martinsberg,50.43,7.4,-15000
48,DB03019,Andernach Martinsberg,50.43,7.4,-16000
49,DB03732,Andernach Martinsberg,50.43,7.4,-16000
50,DB03227,Andernach Martinsberg,50.43,7.4,-16000
51,DB05298,Andernach Martinsberg,50.43,7.4,-16000
52,DB02628,Andernach Martinsberg,50.43,7.4,-16000
53,DB01550,Andernach Martinsberg,50.43,7.4,-16000
55,DB01551,Arbreda,42.16,2.75,-21000
56,DB03020,Arbreda,42.16,2.75,-22000
72,DB00588,Arenaza,43.25,-3.1,-11000
74,DB02510,Auzary Thones,45.88,6.33,-18000
84,DB01743,Bange,45.7,5.8,-15000
85,DB04653,Bange,45.7,5.8,-15000
86,DB01336,Bedburg Konigshoven,51.03,6.51,-9000
87,DB04885,Bedburg Konigshoven,51.03,6.51,-11000
88,DB04745,Bedburg Konigshoven,51.03,6.51,-11000
89,DB01183,Bedburg Konigshoven,51.03,6.51,-11000
90,DB04886,Bedburg Konigshoven,51.03,6.51,-11000
91,DB04887,Bedburg Konigshoven,51.03,6.51,-11000
92,DB05688,Bedburg Konigshoven,51.03,6.51,-11000
93,DB01194,Bedburg Konigshoven,51.03,6.51,-11000
94,DB01576,Bedburg Konigshoven,51.03,6.51,-12000
95,DB05689,Bedburg Konigshoven,51.03,6.51,-12000
96,DB00576,Bedburg Konigshoven,51.03,6.51,-12000
97,DB01051,Bedburg Konigshoven,51.03,6.51,-12000
98,DB05690,Bedburg Konigshoven,51.03,6.51,-12000
99,DB01052,Bedburg Konigshoven,51.03,6.51,-12000
100,DB05691,Bedburg Konigshoven,51.03,6.51,-13000
101,DB00125,Bedburg Konigshoven,51.03,6.51,-13000
102,DB00232,Belloy sur Somme,49.97,2.13,-9000
103,DB01499,Belloy sur Somme,49.97,2.13,-11000
104,DB03406,Belvis,43.14,2.23,-14000
105,DB05929,Belvis,43.14,2.23,-14000
106,DB01580,Belvis,43.14,2.23,-16000
108,DB05692,Beneito,38.8,-0.47,-12000
109,DB02511,Beneito,38.8,-0.47,-17000
110,DB01624,Beneito,38.8,-0.47,-19000
111,DB02240,Beneito,38.8,-0.47,-20000
113,DB02588,Bergerie,44.62,1.63,-19000
114,DB01581,Bergerie,44.62,1.63,-19000
115,DB04888,Beroun,49.96,14.07,-15000
119,DB04655,Blaches,45.35,4.8,-17000
120,DB03882,Blaireux,50.12,4.73,-16000
121,DB05968,Blanzat,45.83,3.08,-15000
124,DB05969,Bora Gran de les carreras,42.16,2.82,-14000
127,DB01837,Borshchevo,51.35,39.12,-12000
