longitude,latitude,class
13.3456,8.5419,presence
34.589,8.245,presence
8.3613,14.24817,presence
34.678,-14.2803,presence
-3.4253,13.09583,presence
0.399,10.733,presence
23.7,-25.4501,presence
16.4,8.4,presence
36.83333,7.66667,presence
-5.82692,12.93601,presence
-16.034,13.412,presence
-0.35167,12.17944,presence
-4.55,11.5833,presence
5.6728,4.9874,presence
-5.2667,13.1,presence
-6.1202,14.7396,presence
47.2431,7.1745,presence
30.1118,-1.977,presence
30.21293,-15.13426,presence
33.3384,3.3519,presence
-3.2631,11.679,presence
24.265,-17.509,presence
-4.9166,10.2833,presence
36.1382,15.8126,presence
37.31667,-0.73333,presence
39.0853,-3.1099,presence
-5.0962,7.683,presence
27.2998,-16.2183,presence
47.8333,7.5,presence
-4.6537,13.912,presence
34.8314,-5.7435,presence
-7.75,14.3333,presence
-3.75,14.7667,presence
-10.3766,14.4312,presence
33.3655,13.33,presence
1.7089,11.8789,presence
33.3327,19.5385,presence
31.6995,-15.14997,presence
35.1172,-14.3014,presence
38.5667,6.9667,presence
-12.3983,17.0439,presence
48.4864,8.405,presence
30.099,-4.584,presence
38.047,-4.65,presence
35.8535,15.187,presence
34.27511,0.63526,presence
33.4462,-2.5908,presence
13.24148,8.47248,presence
34.62493,-19.53779,presence
28,7.7,presence
32.5428,2.1081,presence
-11.67124,13.88405,presence
-15.53669,13.45891,presence
36.6784,-8.38513,presence
32.8,15.38333,presence
-6.684,12.6,presence
39.27245,-0.6433,presence
-8.5,13.5667,presence
0.8549,19.4649,presence
33.61841,-16.14296,presence
-13.653,16.0475,presence
30.1775,13.0457,presence
24.0904,13.6539,presence
4.83243,9.12795,presence
30.45,19.26667,presence
13.5,-14.91667,presence
28.2121,-17.9413,presence
38.03667,-1.59993,presence
38.8204,15.6429,presence
27.3433,-15.21751,presence
20.9274,-17.9714,presence
31.04574,-22.8884,presence
33.567,-13.433,presence
15.23333,11.71667,presence
-5.0333,12.7167,presence
49.5685,8.4855,presence
49.0507,10.2717,presence
40,9.0167,presence
-3.0925,14.4567,presence
30.5685,20.152,presence
3.38333,11.86667,presence
-17.36203,14.75712,presence
44.122,3.351,presence
36.39301,-8.15443,presence
31.666,-21.065,presence
27.1238,-18.0397,presence
37.64592,6.98934,presence
-15.8738,11.2232,presence
-3.52191,11.48945,presence
40.69167,-2.26485,presence
36.825,-3.2923,presence
44.0825,2.7976,presence
14.5469,10.0853,presence
14.93321,10.85373,presence
22.45,-19.58333,presence
27.56666,-15.8499,presence
34.0523,-12.0377,presence
34.95,13.1,presence
-5.5,6.935,presence
31.2299,11.4634,presence
18.45,-25.08333,presence
5.667,5.893,presence
33.55,13.85,presence
-9.01667,9.26667,presence
27.22049,-20.8402,presence
39.08232,-3.74312,presence
35.6166,8.7,presence
36.3167,8.4833,presence
37.0667,8.35,presence
-16.6,14.7167,presence
40.167,-2.4433,presence
6.786,6.13,presence
33.869,17.424,presence
27.35037,-14.05012,presence
-15.59672,13.56996,presence
36.994,-16.8374,presence
37.09715,-0.48333,presence
39.68192,-0.51577,presence
7.72713,14.15939,presence
-0.5216,13.5274,presence
-15.905,15.29111,presence
-6.9167,10.45,presence
28.752,-22.278,presence
-12.621,15,presence
-1.05,11.66,presence
-2.98592,16.7087,presence
7.86,12.667,presence
44.8981,2.0483,presence
31.3107,-22.4503,presence
11.51667,3.86667,presence
