ID,latitude,longitude
51,12.11305,15.04923
52,-24.56336,33.01595
53,6.1111,37.59625
59,9.39194,13.5025
61,-1.95906,31.42492
62,-2.07898,31.54556
63,-1.86769,31.40493
68,-2.05186,31.44633
76,11.14607,-3.06255
77,10.96667,-3.25
82,11.16667,-1.13456
83,12.18887,-1.40027
94,12.46667,-3.45
95,11.48945,-3.52191
96,12.17944,-0.35167
109,11.17833,-4.29306
110,11.17833,-4.29306
111,0.453,34.125
112,0.54057,34.5641
114,-0.03572,34.62196
115,-0.17259,34.91983
116,-0.11086,35.11155
117,-0.47647,34.31789
118,-0.48805,34.31314
119,-0.48805,34.31314
120,-0.47647,34.31789
121,-0.45618,34.3716
122,-0.48538,34.37702
123,-0.45775,34.40257
124,-0.47189,34.09073
125,-0.53034,34.09456
127,-0.47647,34.31789
128,-0.48805,34.31314
129,-0.47439,34.33037
130,-0.48568,34.33364
131,-0.45618,34.3716
132,-0.48538,34.37702
133,-0.45775,34.40257
134,-0.4426,34.25045
135,-0.4524,34.2714
136,-0.47855,34.28581
137,-0.46102,34.05882
138,-0.47189,34.09073
139,-0.46066,34.32133
140,-0.46898,34.30921
141,-0.49322,34.3388
142,-0.49726,34.34273
143,-0.48799,34.35734
144,-0.50475,34.35841
145,-0.49394,34.31575
146,-0.49465,34.30315
147,-0.50095,34.30898
148,-0.51378,34.31456
149,-0.51972,34.30505
150,-0.49845,34.31789
151,-0.51081,34.32122
152,-0.50427,34.3602
153,-0.48776,34.37362
154,-0.46019,34.37838
155,-0.52757,34.31968
156,-0.50261,34.38718
161,0.57068,34.5616
162,0.45459,34.12806
163,0.28285,34.7519
164,0.63526,34.27511
165,-0.07433,34.66568
166,-0.18303,34.38381
167,-0.16196,34.47333
168,0.45459,34.12806
169,0.57068,34.5616
170,0.28285,34.7519
171,-0.18303,34.38381
172,-0.16196,34.47333
173,-0.07433,34.66568
195,-0.13304,34.59985
196,-0.16667,34.91983
197,-0.76667,34.93333
198,-4.18333,39.43333
199,-0.73333,37.31667
200,-0.76667,34.93333
201,-4.18333,39.43333
202,-0.73333,37.31667
203,-0.76667,34.93333
204,-4.18333,39.43333
205,-0.73333,37.31667
206,-1.11667,37.58333
211,-0.15212,34.38037
212,-0.17514,34.48024
213,-0.17009,34.44518
214,-0.16563,34.47127
215,-0.14656,34.44494
216,-0.1372,34.43669
217,-0.12997,34.44887
227,-0.07433,34.66568
228,-0.13304,34.59985
229,-0.06017,34.97681
230,-0.17259,34.91983
232,-0.14931,34.40642
233,-0.14931,34.40642
234,-0.1478,34.46341
241,15.98333,32.75
242,15.7949,32.89846
243,15.50267,32.64506
244,15.65,32.65
245,15.99,32.56
246,15.6,32.75
247,6.38333,2.41667
248,6.39791,2.40162
249,6.45367,2.35279
261,12.5,-1.33333
262,12.5,-1.33333
263,12.16667,-0.35
264,12.16667,-0.35
265,11.15,-4.28333
266,11.15,-4.28333
267,11,-4.04583
268,11,-4.04583
278,11.16672,-4.24997
279,11.16672,-4.24997
280,11.17833,-4.29306
281,11.17833,-4.29306
297,11.02944,-4.04583
298,-3.35,37.35
320,11.48652,37.26045
321,10.67275,37.21762
322,13.04269,36.98919
323,6.98934,37.64592
324,6.23624,37.67448
325,6.74783,37.68043
346,-5.22132,39.74296
347,-5.16421,39.80387
348,-5.1033,39.80197
349,-5.06142,39.78674
